ListingID,Title,UserID,baseurl,Price,HostName,Lat,Long,Cancellation,OverallCounter,PageCounter,PageNumber,P_Cleaning,P_Deposit,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,R_total,RespRate,RespTime,num_reservation,S_Accomodates,S_Bathrooms,S_RoomType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc,Earning
6249629,Super location best host free bikes,14497887,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,8973,Yoshimi,35.013456607253346,135.7657240259108,Moderate,1,1,1,4001,15002,,0%,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,29,3,1.5,Entire home/apt,1,3:00 PM,11:00 AM,2,Apartment,,261000
3803326,JP Traditional House Japanese Room,9363563,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,6548,Lance & Migo,34.9941440023293,135.75553565445887,Moderate,2,2,1,,12002,,0%,4.5,5.0,5.0,5.0,4.5,4.5,4.5,,,28,2,1,Private room,1,4:00 PM,11:00 AM,2,House,,182000
3277929,NEW : EXQUISITE TRADITIONAL HOUSE,9613497,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,29601,Chris,35.01472977560905,135.79400722411242,,3,3,1,8107,49892,,0%,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,,30,4,1.5,Entire home/apt,2,12:00 PM (noon),10:00 AM,2,House,,1066365
8297166,【Kyoto】Expo Hostel Nishi Room3,43739643,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,6669,Expo Hostel,35.035772010618075,135.74715388781962,Moderate,4,4,1,,,,0%,5.0,5.0,5.0,5.0,4.5,5.0,5.0,,,29,2,0,Private room,1,3:00 PM,12:00 PM (noon),2,House,,230300
5085895,Small private room at the house.,15274630,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,2183,Yuji & Ami,35.035976076081795,135.78046994899663,,5,5,1,,,,,4.5,4.5,4.0,4.5,4.0,4.5,4.5,,,30,1,0,Private room,1,2:00 PM,10:00 AM,1,House,,65100
6031607,16min from JR.Kyoto! Free wifi !2D.,27134903,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,3759,Chikako,35.02041886868239,135.67889468828744,Moderate,6,6,1,2500,35005,,15%,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,25,2,1,Entire home/apt,1,3:00 PM,10:00 AM,2,Apartment,,127000
4598244,Perfect-restored MACHIYA + 2 bikes,23834498,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,19038,Kitano,35.023227320589974,135.73220206256676,,7,7,1,,25003,,0%,5.0,5.0,5.0,5.0,4.5,4.5,5.0,,,30,2,1,Entire home/apt,1,4:00 PM,10:00 AM,2,House,,618000
4379522,A traditional long house with wi-fi,22740143,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,4002,Mikako,35.01462689292246,135.77702217191307,Moderate,8,8,1,,,,0%,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,,29,2,1,Private room,1,,,2,House,,163080
8788977,NEW　OPEN!!四条大宮駅　徒歩3分　繁華街や観光へとても便利です,44702701,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,4487,Masashi,35.00260551311158,135.75062828433587,,9,9,1,2500,11385,,5%,5.0,5.0,5.0,5.0,5.0,4.5,5.0,,,29,2,1,Entire home/apt,1,3:00 PM,10:00 AM,2,Apartment,,136460
8659789,京都ど真ん中”四条”,18435920,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,8488,Hori,35.00511725405757,135.76546529375972,,10,10,1,3000,,,15%,5.0,4.5,5.0,5.0,5.0,5.0,5.0,,,20,2,1,Private room,1,3:00 PM,10:00 AM,2,Apartment,,170000
2532364,1 SakuraRiverView  Gion Area＋ bikes,12969129,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,15036,Andrea & Mayumi,34.99819086917484,135.76901596450264,,11,11,1,,,,0%,5.0,5.0,5.0,5.0,5.0,4.5,5.0,,,30,4,1,Entire home/apt,2,4:00 PM,10:00 AM,4,Apartment,,824000
5742003,(BR) 2 min Omiya sta & Free Wifi,23131548,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,12005,Toru,35.00328087592341,135.7509606988411,,12,12,1,4001,,,8%,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,29,2,1,Entire home/apt,1,3:00 PM,12:00 PM (noon),1,Apartment,,343000
4201304,BEST Place! Traveling Heritages 203,21629451,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,6791,Flat,34.997491102428164,135.7842637514522,,13,13,1,5001,20003,,0%,4.0,4.5,4.0,4.5,4.0,4.0,4.0,,,21,3,2,Private room,1,3:00 PM,11:00 AM,2,House,,182600
5437234,Great location with Mobile Wi-fi 5F,25025944,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,6306,"Takashi,Rina And Yuki",35.00911941720784,135.77938864723322,,14,14,1,2000,15002,,0%,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,30,3,1,Entire home/apt,1,3:00 PM,11:00 AM,2,Apartment,,280500
4319509,Traditional Twin Room (No Towel),22426598,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,7276,Kyomachiya Takanashi,35.00740708004639,135.75566826918737,,15,15,1,,,,0%,4.5,4.5,5.0,4.5,4.5,4.5,4.5,,,30,2,0,Private room,1,4:00 PM,11:00 AM,2,Bungalow,,220000
7429252,Just renovated Loft free bikes,14497887,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,7761,"
      Explore other options in and around Kyoto
    ",35.014273982360194,135.76525813620808,Not Found,16,16,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,,28,,,,,,,,,,212800
7388013,Great location pocket wifi & bike,14497887,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,4850,Yoshimi,35.01335277869573,135.76526325086738,Moderate,17,17,1,2500,15002,,0%,5.0,4.5,5.0,5.0,4.5,4.5,4.5,,,28,2,1,Entire home/apt,1,3:00 PM,11:00 AM,2,Apartment,,134154
6045382,Located in Gion area of Kyoto,31374934,https://www.airbnb.com/s/Kyoto--Kyoto-Prefecture?page=1,7033,Yoshikazu,34.995379017578394,135.77639595809637,Moderate,18,18,1,3000,,,0%,5.0,5.0,4.5,4.5,4.5,4.5,4.5,,,29,3,1,Private room,1,,,2,Apartment,,203000
